Epoch	Learning Rate	Train Loss	Train Acc.	Val Loss	Val seq Acc Top1-5/F1.	Val Batch Acc	
1.000000	0.000500	2.073198	0.524709	0.000000	0.000000	0.000000	
2.000000	0.000500	0.085349	0.995640	0.000000	0.000000	0.000000	
3.000000	0.000500	0.027431	0.997093	0.000000	0.000000	0.000000	
4.000000	0.000500	0.020979	0.997093	0.000000	0.000000	0.000000	
5.000000	0.000500	0.015963	0.997093	0.942166	(0.6946902654867256, 0.8119469026548672, 0.8820058997050148, 0.6268116333481575, 0.9923625692897677)	(0.7377049180327869, 0.8688524590163934, 0.9344262295081968, 0.6734239718614718, 0.9960628531073447)	
6.000000	0.000500	0.010457	1.000000	0.000000	0.000000	0.000000	
7.000000	0.000500	0.008666	1.000000	0.000000	0.000000	0.000000	
8.000000	0.000500	0.007731	1.000000	0.000000	0.000000	0.000000	
9.000000	0.000500	0.007058	1.000000	0.000000	0.000000	0.000000	
10.000000	0.000500	0.006807	1.000000	0.687891	(0.7971976401179941, 0.9306784660766961, 0.9808259587020649, 0.697037321682519, 0.9946353029426407)	(0.819672131147541, 0.9344262295081968, 1.0, 0.7687364718614718, 0.9976518361581921)	
11.000000	0.000500	0.006569	1.000000	0.000000	0.000000	0.000000	
12.000000	0.000500	0.005803	1.000000	0.000000	0.000000	0.000000	
13.000000	0.000500	0.005381	1.000000	0.000000	0.000000	0.000000	
14.000000	0.000500	0.004970	1.000000	0.000000	0.000000	0.000000	
15.000000	0.000500	0.004798	1.000000	0.633831	(0.8244837758112095, 0.9358407079646017, 0.9815634218289085, 0.7187270126382472, 0.9951484148817884)	(0.8360655737704918, 0.9344262295081968, 1.0, 0.7694940476190476, 0.9976518361581921)	
16.000000	0.000500	0.004575	1.000000	0.000000	0.000000	0.000000	
17.000000	0.000500	0.004333	1.000000	0.000000	0.000000	0.000000	
18.000000	0.000500	0.004155	1.000000	0.000000	0.000000	0.000000	
19.000000	0.000500	0.004034	1.000000	0.000000	0.000000	0.000000	
20.000000	0.000500	0.003741	1.000000	0.606464	(0.8303834808259587, 0.9365781710914455, 0.9837758112094396, 0.7263561129990311, 0.9954390544788019)	(0.8360655737704918, 0.9344262295081968, 1.0, 0.7694940476190476, 0.9976518361581921)	
21.000000	0.000500	0.003701	1.000000	0.000000	0.000000	0.000000	
22.000000	0.000500	0.003575	1.000000	0.000000	0.000000	0.000000	
23.000000	0.000500	0.003291	1.000000	0.000000	0.000000	0.000000	
24.000000	0.000500	0.003258	1.000000	0.000000	0.000000	0.000000	
25.000000	0.000500	0.003218	1.000000	0.584444	(0.8355457227138643, 0.9387905604719764, 0.9852507374631269, 0.7320224738448373, 0.9956054901817359)	(0.8360655737704918, 0.9344262295081968, 1.0, 0.7715773809523809, 0.9981726694915254)	
26.000000	0.000500	0.003023	1.000000	0.000000	0.000000	0.000000	
27.000000	0.000500	0.002987	1.000000	0.000000	0.000000	0.000000	
28.000000	0.000500	0.002849	1.000000	0.000000	0.000000	0.000000	
29.000000	0.000500	0.002844	1.000000	0.000000	0.000000	0.000000	
30.000000	0.000500	0.002728	1.000000	0.561960	(0.8414454277286135, 0.9402654867256637, 0.9852507374631269, 0.7372364480785802, 0.9957081172873271)	(0.8360655737704918, 0.9344262295081968, 1.0, 0.7715773809523809, 0.9981726694915254)	
31.000000	0.000500	0.002604	1.000000	0.000000	0.000000	0.000000	
32.000000	0.000500	0.002526	1.000000	0.000000	0.000000	0.000000	
